1,1.13E-10
2,9.12E-11
3,8.35E-11
4,7.93E-11
6,7.40E-11
10,6.97E-11
16,7.14E-11
25,7.78E-11
40,9.00E-11
63,1.05E-10
100,1.28E-10
158,1.53E-10
251,1.74E-10
398,2.04E-10
631,2.32E-10
1000,2.29E-10
1585,1.66E-10
,
