-3.095303887343034,"1730/32767"
-3.0945875901542603,"1770/32767"
-3.0938712929654866,"1780/32767"
-3.0931549956602975,"1740/32767"
-3.092438698587939,"240/4681"
-3.0917224013991653,"1640/32767"
-3.0910061040939762,"1640/32767"
-3.090289807021618,"1670/32767"
-3.089573509832844,"1710/32767"
-3.088857212527655,"1730/32767"
-3.0881409153388812,"1720/32767"
-3.087424618266523,"1660/32767"
-3.0867083209613337,"1600/32767"
-3.08599202377256,"1570/32767"
-3.0852757267002016,"1580/32767"
-3.0845594293950125,"1640/32767"
-3.0838431322062387,"1700/32767"
-3.083126835017465,"1730/32767"
-3.0824105378286912,"1720/32767"
-3.0816942406399175,"1670/32767"
-3.0809779434511437,"1620/32767"
-3.0802616463787853,"230/4681"
-3.0795453490735962,"1640/32767"
-3.078829052001238,"1700/32767"
-3.078112754812464,"250/4681"
-3.077396457507275,"1760/32767"
-3.0766801604349165,"1740/32767"
-3.075963863246143,"1700/32767"
-3.0752475659409537,"1660/32767"
-3.07453126875218,"1670/32767"
-3.0738149716798215,"1720/32767"
-3.0730986743746325,"1790/32767"
-3.0723823771858587,"1850/32767"
-3.071666079997085,"1870/32767"
-3.070949782808311,"1850/32767"
-3.0702334856195375,"260/4681"
-3.0695171884307637,"1810/32767"
-3.06880089124199,"1840/32767"
-3.068084594053216,"1930/32767"
-3.0673682968644425,"2010/32767"
-3.0666519996756687,"2060/32767"
-3.065935702486895,"2070/32767"
-3.065219405298121,"2040/32767"
-3.0645031081093475,"2010/32767"
-3.0637868109205737,"2020/32767"
-3.0630705136153846,"2060/32767"
-3.062354216543026,"2130/32767"
-3.061637919237837,"2210/32767"
-3.0609216220490634,"2250/32767"
-3.060205324976705,"2250/32767"
-3.059489027671516,"2210/32767"
-3.0587727305991574,"2180/32767"
-3.0580564334103837,"2180/32767"
-3.05734013622161,"2230/32767"
-3.056623839032836,"330/4681"
-3.0559075418440624,"2370/32767"
-3.0551912446552887,"2390/32767"
-3.054474947466515,"2360/32767"
-3.053758650277741,"2320/32767"
-3.0530423530889674,"2300/32767"
-3.0523260559001937,"2320/32767"
-3.0516097585950046,"2390/32767"
-3.050893461522646,"2460/32767"
-3.0501771643338724,"360/4681"
-3.0494608670286834,"2530/32767"
-3.048744569956325,"2500/32767"
-3.048028272651136,"350/4681"
-3.047311975462362,"2440/32767"
-3.0465956783900037,"2470/32767"
-3.0458793810848146,"2550/32767"
-3.045163083896041,"2630/32767"
-3.0444467868236824,"2680/32767"
-3.0437304895184933,"2680/32767"
-3.0430141923297196,"2640/32767"
-3.042297895257361,"2610/32767"
-3.041581597952172,"2610/32767"
-3.0408653007633983,"380/4681"
-3.04014900369104,"2740/32767"
-3.039432706385851,"400/4681"
-3.038716409197077,"2840/32767"
-3.0380001121247187,"2820/32767"
-3.037283814935945,"2780/32767"
-3.036567517747171,"2740/32767"
-3.035851220441982,"2750/32767"
-3.0351349233696236,"400/4681"
-3.0344186260644346,"410/4681"
-3.033702328875661,"2920/32767"
-3.0329860318033024,"2920/32767"
-3.0322697344981133,"2890/32767"
-3.0315534373093396,"2840/32767"
-3.030837140236981,"2810/32767"
-3.030120842931792,"2830/32767"
-3.0294045457430183,"2890/32767"
-3.02868824867066,"2960/32767"
-3.027971951365471,"430/4681"
-3.027255654176697,"430/4681"
-3.0265393571043386,"2970/32767"
-3.0258230597991496,"2920/32767"
-3.025106762610376,"2900/32767"
-3.024390465421602,"2930/32767"
-3.0236741682328283,"2990/32767"
-3.0229578710440546,"3060/32767"
-3.0222415737388655,"3090/32767"
-3.021525276666507,"3070/32767"
-3.0208089794777333,"430/4681"
-3.0200926821725442,"2960/32767"
-3.019376385100186,"2950/32767"
-3.018660087911412,"3000/32767"
-3.017943790606223,"440/4681"
-3.0172274935338645,"3140/32767"
-3.016511196345091,"3160/32767"
-3.015794899156317,"3120/32767"
-3.0150786020839586,"3060/32767"
-3.0143623047787695,"20/217"
-3.013646007589996,"3040/32767"
-3.0129297105176374,"3090/32767"
-3.0122134132124483,"3170/32767"
-3.0114971160236745,"460/4681"
-3.010780818834901,"3230/32767"
-3.010064521646127,"3190/32767"
-3.0093482244573533,"3140/32767"
-3.008631927152164,"100/1057"
-3.007915630079806,"3110/32767"
-3.007199332891032,"3170/32767"
-3.006483035585843,"3230/32767"
-3.0057667385134845,"3260/32767"
-3.0050504413247108,"3230/32767"
-3.0043341440195217,"3170/32767"
-3.0036178469471633,"3110/32767"
-3.0029015497583895,"3090/32767"
-3.0021852524532004,"3120/32767"
-3.001468955380842,"3170/32767"
-3.000752658075653,"460/4681"
-3.000036360886879,"3230/32767"
-2.9993200638145208,"3190/32767"
-2.9986037665093317,"3120/32767"
-2.997887469320558,"3060/32767"
-2.9971711722481995,"3050/32767"
-2.9964548749430104,"440/4681"
-2.995738577870652,"450/4681"
-2.995022280565463,"3210/32767"
-2.9943059834931045,"3210/32767"
-2.9935896863043308,"3170/32767"
-2.9928733889991417,"100/1057"
-2.9921570919267833,"3050/32767"
-2.9914407947380095,"3060/32767"
-2.9907244974328204,"3110/32767"
-2.990008200360462,"3180/32767"
-2.989291903055273,"460/4681"
-2.988575605866499,"3210/32767"
-2.9878593087941407,"450/4681"
-2.9871430114889517,"3090/32767"
-2.986426714300178,"3060/32767"
-2.9857104172278195,"440/4681"
-2.9849941199226304,"3140/32767"
-2.9842778227338567,"3210/32767"
-2.9835615256614982,"3250/32767"
-2.982845228356309,"3230/32767"
-2.9821289311675354,"3180/32767"
-2.9814126339787617,"3130/32767"
-2.980696336789988,"3120/32767"
-2.979980039601214,"3170/32767"
-2.979263742296025,"3250/32767"
-2.9785474452236667,"3320/32767"
-2.977831148034893,"3340/32767"
-2.977114850729704,"3310/32767"
-2.9763985536573454,"3260/32767"
-2.9756822564685717,"460/4681"
-2.9749659591633826,"3240/32767"
-2.9742496622074395,"3300/32767"
-2.9735333649022504,"3370/32767"
-2.9728170677134766,"490/4681"
-2.972100770641118,"490/4681"
-2.971384473335929,"3380/32767"
-2.9706681761471554,"3320/32767"
-2.969951879074797,"3280/32767"
-2.969235581769608,"470/4681"
-2.968519284580834,"3350/32767"
-2.9678029873920604,"3420/32767"
-2.9670866902032866,"3440/32767"
-2.966370393014513,"110/1057"
-2.965654095709324,"3330/32767"
-2.9649377986369654,"3250/32767"
-2.9642215014481916,"3210/32767"
-2.9635052041430026,"460/4681"
-2.962788907070644,"3260/32767"
-2.9620726098818704,"3300/32767"
-2.9613563125766813,"3310/32767"
-2.960640015504323,"3270/32767"
-2.959923718315549,"3180/32767"
-2.95920742101036,"3110/32767"
-2.9584911239380016,"440/4681"
-2.957774826749228,"100/1057"
-2.957058529444039,"450/4681"
-2.956342232255265,"3190/32767"
-2.9556259350664913,"3180/32767"
-2.9549096378777175,"100/1057"
-2.954193340688944,"430/4681"
-2.9534770436165854,"2930/32767"
-2.9527607464278116,"2920/32767"
-2.9520444491226225,"2960/32767"
-2.951328152050264,"430/4681"
-2.9506118548614904,"3030/32767"
-2.9498955575563013,"3000/32767"
-2.949179260483943,"2930/32767"
-2.948462963295169,"2850/32767"
-2.94774666598998,"400/4681"
-2.9470303689176216,"2810/32767"
-2.946314071728848,"2860/32767"
